ID_INCIDENCIA;ID_VUELO;Tipo;Causa;Tiempo
0;0;DESVIO;;231
1;1;DESVIO;;283
2;2;DESVIO;;265
3;3;DESVIO;;185
4;4;DESVIO;;241
5;5;DESVIO;;
6;6;DESVIO;;212
7;7;DESVIO;;251
8;8;DESVIO;;182
9;9;DESVIO;;358
10;10;DESVIO;;300
11;11;DESVIO;;135
12;12;DESVIO;;115
13;13;DESVIO;;293
14;14;DESVIO;;144
15;15;DESVIO;;201
16;16;DESVIO;;172
17;17;DESVIO;;
18;18;DESVIO;;83
19;4713;DESVIO;;128
20;4714;DESVIO;;148
21;4715;DESVIO;;
22;4716;DESVIO;;61
23;5874;DESVIO;;
24;5875;DESVIO;;449
25;5876;DESVIO;;298
26;5877;DESVIO;;248
27;5878;DESVIO;;366
28;5879;DESVIO;;427
29;5880;DESVIO;;293
30;5881;DESVIO;;178
31;7375;DESVIO;;209
32;7376;DESVIO;;80
33;9511;DESVIO;;421
34;9512;DESVIO;;408
35;9513;DESVIO;;321
36;9514;DESVIO;;87
37;9515;DESVIO;;185
38;9516;DESVIO;;
39;9517;DESVIO;;274
40;9518;DESVIO;;
41;9519;DESVIO;;242
42;9520;DESVIO;;380
43;9521;DESVIO;;212
44;9522;DESVIO;;165
45;13011;DESVIO;;144
46;13012;DESVIO;;132
47;13013;DESVIO;;183
48;15657;DESVIO;;124
49;15658;DESVIO;;117
50;15659;DESVIO;;108
51;17750;DESVIO;;71
52;18504;DESVIO;;285
53;18505;DESVIO;;245
54;18506;DESVIO;;
55;18507;DESVIO;;87
56;18508;DESVIO;;347
57;18509;DESVIO;;220
58;18510;DESVIO;;236
59;22073;DESVIO;;70
60;22074;DESVIO;;120
61;22075;DESVIO;;920
62;22076;DESVIO;;982
63;22077;DESVIO;;190
64;22078;DESVIO;;355
65;22079;DESVIO;;77
66;22080;DESVIO;;
67;22081;DESVIO;;152
68;22082;DESVIO;;173
69;24395;DESVIO;;
70;24396;DESVIO;;39
71;25626;DESVIO;;168
72;25627;DESVIO;;154
73;25628;DESVIO;;121
74;25629;DESVIO;;
75;25630;DESVIO;;125
76;25631;DESVIO;;248
77;25632;DESVIO;;99
78;30050;DESVIO;;128
79;30051;DESVIO;;136
80;30052;DESVIO;;230
81;30053;DESVIO;;
82;30054;DESVIO;;
83;30055;DESVIO;;97
84;30056;DESVIO;;
85;30057;DESVIO;;93
86;33341;DESVIO;;318
87;33342;DESVIO;;157
88;33343;DESVIO;;159
89;33344;DESVIO;;377
90;33345;DESVIO;;157
91;33346;DESVIO;;64
92;33347;DESVIO;;311
93;33348;DESVIO;;143
94;33349;DESVIO;;
95;33350;DESVIO;;154
96;36703;DESVIO;;
97;36704;DESVIO;;46
98;36705;DESVIO;;
99;36706;DESVIO;;107
