;carrierCode;planeYear;planeModel
N335AA;AA;1987;767-223
N352AA;AA;1988;767-323
N319AA;AA;1985;767-223
N583AA;AA;1991;DC-9-82(MD-82)
N473AA;AA;1988;DC-9-82(MD-82)
N219AA;AA;1983;DC-9-82(MD-82)
N477AA;AA;1988;DC-9-82(MD-82)
N550AA;AA;1964;HST-550
N446AA;AA;1987;DC-9-82(MD-82)
N584AA;AA;1991;DC-9-82(MD-82)
N586AA;AA;1991;DC-9-82(MD-82)
N329AA;AA;1987;767-223
N320AA;AA;1985;767-223
N321AA;AA;1986;767-223
N328AA;AA;1986;767-223
N332AA;AA;1987;767-223
N374AA;AA;1992;767-323
N381AA;AA;1956;DC-7BF
N362AA;AA;1988;767-323
N353AA;AA;1988;767-323
N360AA;AA;1988;767-323
N383AA;AA;1972;E-90
N336AA;AA;1987;767-223
N322AA;AA;1986;767-223
N391AA;AA;1995;767-323
N339AA;AA;1988;767-223
N323AA;AA;;767-223
N325AA;AA;1986;767-223
N338AA;AA;1987;767-223
N327AA;AA;1986;767-223
N376AA;AA;1978;PA-32RT-300
N371AA;AA;1992;767-323
N375AA;AA;1974;690A
N382AA;AA;;1121
N379AA;AA;1993;767-323
N380AA;AA;;AS 355F1
N348AA;AA;;S-76A
N324AA;AA;1986;767-223
N372AA;AA;1992;767-323
N354AA;AA;1988;767-323
N377AA;AA;;FALCON XP
N621AA;AA;1975;172M
N592AA;AA;1991;DC-9-83(MD-83)
N565AA;AA;1987;DC-9-83(MD-83)
N384AA;AA;1993;767-323
N628AA;AA;1990;757-223
N637AA;AA;;FALCON-XP
N631AA;AA;1990;757-223
N639AA;AA;1991;757-223
N390AA;AA;1995;767-323
N388AA;AA;1995;767-323
N345AA;AA;1992;G-IV
N612AA;AA;1989;757-223
N635AA;AA;1990;757-223
N630AA;AA;1990;757-223
N358AA;AA;1988;767-323
N624AA;AA;1990;757-223
N492AA;AA;1989;DC-9-82(MD-82)
N440AA;AA;1987;DC-9-82(MD-82)
N369AA;AA;1992;767-323
N363AA;AA;1988;767-323
N578AA;AA;1991;DC-9-82(MD-82)
N287AA;AA;1985;DC-9-82(MD-82)
N266AA;AA;1985;DC-9-82(MD-82)
N227AA;AA;1983;DC-9-82(MD-82)
N214AA;AA;1983;DC-9-82(MD-82)
N505AA;AA;1989;DC-9-82(MD-82)
N208AA;AA;1983;DC-9-82(MD-82)
N457AA;AA;1988;DC-9-82(MD-82)
N469AA;AA;1988;DC-9-82(MD-82)
N554AA;AA;1991;DC-9-82(MD-82)
N471AA;AA;1988;DC-9-82(MD-82)
N423AA;AA;1986;DC-9-82(MD-82)
N241AA;AA;1984;DC-9-82(MD-82)
N458AA;AA;1988;DC-9-82(MD-82)
N244AA;AA;1984;DC-9-82(MD-82)
N589AA;AA;1991;DC-9-83(MD-83)
N587AA;AA;1991;DC-9-82(MD-82)
N472AA;AA;1988;DC-9-82(MD-82)
N579AA;AA;1991;DC-9-82(MD-82)
N576AA;AA;1991;DC-9-82(MD-82)
N510AA;AA;1982;T210N
N563AA;AA;1987;DC-9-83(MD-83)
N562AA;AA;1987;DC-9-83(MD-83)
N202AA;AA;1980;421C
N237AA;AA;1984;DC-9-82(MD-82)
N249AA;AA;1984;DC-9-82(MD-82)
N419AA;AA;1986;DC-9-82(MD-82)
N596AA;AA;1992;DC-9-83(MD-83)
N456AA;AA;1988;DC-9-82(MD-82)
N271AA;AA;1985;DC-9-82(MD-82)
N598AA;AA;1992;DC-9-83(MD-83)
N494AA;AA;1989;DC-9-82(MD-82)
N248AA;AA;1984;DC-9-82(MD-82)
N486AA;AA;1988;DC-9-82(MD-82)
N622AA;AA;1990;757-223
N434AA;AA;1987;DC-9-83(MD-83)
N559AA;AA;1991;DC-9-82(MD-82)
N497AA;AA;1989;DC-9-82(MD-82)
N474AA;AA;1974;172M
N488AA;AA;1988;DC-9-82(MD-82)
N585AA;AA;1991;DC-9-82(MD-82)
N595AA;AA;1992;DC-9-83(MD-83)
N566AA;AA;1987;DC-9-83(MD-83)
N449AA;AA;1987;DC-9-82(MD-82)
N279AA;AA;1985;DC-9-82(MD-82)
N278AA;AA;1985;DC-9-82(MD-82)
N234AA;AA;1983;DC-9-82(MD-82)
N507AA;AA;1997;FALCON-XP
N561AA;AA;1991;DC-9-82(MD-82)
N557AA;AA;1993;KITFOX IV
N236AA;AA;1984;DC-9-82(MD-82)
N233AA;AA;1983;DC-9-82(MD-82)
N468AA;AA;1988;DC-9-82(MD-82)
N481AA;AA;1988;DC-9-82(MD-82)
N436AA;AA;1987;DC-9-83(MD-83)
N572AA;AA;1987;DC-9-83(MD-83)
N489AA;AA;1989;DC-9-82(MD-82)
N632AA;AA;1990;757-223
N541AA;AA;1982;C90
N464AA;AA;1988;DC-9-82(MD-82)
N448AA;AA;1987;DC-9-82(MD-82)
N558AA;AA;1991;DC-9-82(MD-82)
N495AA;AA;1989;DC-9-82(MD-82)
N421AA;AA;1962;421C
N484AA;AA;1988;DC-9-82(MD-82)
N638AA;AA;1991;757-223
N445AA;AA;1987;DC-9-82(MD-82)
N451AA;AA;1987;DC-9-82(MD-82)
N343AA;AA;1979;S-76A
N378AA;AA;1963;172E
N413AA;AA;1986;DC-9-82(MD-82)
N455AA;AA;1988;DC-9-82(MD-82)
N478AA;AA;1988;DC-9-82(MD-82)
N509AA;AA;;FALCON-XP
N490AA;AA;1989;DC-9-82(MD-82)
N482AA;AA;1988;DC-9-82(MD-82)
N575AA;AA;1963;210-5(205)
N258AA;AA;1985;DC-9-82(MD-82)
N614AA;AA;1989;757-223
N410AA;AA;1986;DC-9-82(MD-82)
