ID_INC;ID_VUELO;Tipo;Causa;Tiempo
0;0;DESVIO;;231
1;1;DESVIO;;283
2;2;DESVIO;;265
3;3;DESVIO;;185
4;4;DESVIO;;241
5;5;DESVIO;;0
6;6;DESVIO;;212
7;7;DESVIO;;251
8;8;DESVIO;;182
9;9;DESVIO;;358
10;10;DESVIO;;300
11;11;DESVIO;;135
12;12;DESVIO;;115
13;13;DESVIO;;293
14;14;DESVIO;;144
15;15;DESVIO;;201
16;16;DESVIO;;172
17;17;DESVIO;;0
18;18;DESVIO;;83
19;23;RETRASO;NAS;25
20;28;RETRASO;AEROLINEA;20
21;29;RETRASO;NAS;15
22;34;RETRASO;NAS;21
23;41;RETRASO;NAS;18
24;45;RETRASO;AEROLINEA Y NAS;32
25;47;RETRASO;AEROLINEA Y NAS Y TARDANZA;57
26;55;RETRASO;NAS;131
27;58;RETRASO;TIEMPO Y NAS;113
28;66;RETRASO;AEROLINEA;45
29;72;RETRASO;NAS;16
30;76;RETRASO;NAS;15
31;77;RETRASO;NAS;55
32;80;RETRASO;NAS;97
33;86;RETRASO;NAS;75
34;89;RETRASO;AEROLINEA Y TARDANZA;23
35;93;RETRASO;AEROLINEA;51
36;94;RETRASO;AEROLINEA Y NAS;15
37;95;RETRASO;AEROLINEA;15
38;106;RETRASO;NAS;18
39;110;RETRASO;NAS;19
40;111;RETRASO;NAS;23
41;112;RETRASO;NAS;20
42;116;RETRASO;NAS;75
43;122;RETRASO;NAS;53
44;125;RETRASO;NAS Y TARDANZA;46
45;126;RETRASO;NAS;18
46;131;RETRASO;TIEMPO Y NAS Y TARDANZA;41
47;132;RETRASO;NAS;19
48;134;RETRASO;TIEMPO Y NAS Y TARDANZA;84
49;142;RETRASO;AEROLINEA Y TARDANZA;16
50;146;RETRASO;NAS;18
51;149;RETRASO;AEROLINEA Y NAS Y TARDANZA;62
52;150;RETRASO;NAS;93
53;156;RETRASO;NAS;20
54;159;RETRASO;NAS;172
55;165;RETRASO;NAS;52
56;173;RETRASO;TIEMPO Y TARDANZA;61
57;181;RETRASO;AEROLINEA Y NAS Y TARDANZA;59
58;182;RETRASO;TARDANZA;48
59;183;RETRASO;AEROLINEA Y TARDANZA;88
60;186;RETRASO;NAS;40
61;189;RETRASO;AEROLINEA Y TARDANZA;152
62;196;RETRASO;NAS;15
63;203;RETRASO;AEROLINEA;17
64;206;RETRASO;AEROLINEA Y TARDANZA;44
65;209;RETRASO;AEROLINEA;50
66;211;RETRASO;AEROLINEA;25
67;216;RETRASO;AEROLINEA;42
68;224;RETRASO;NAS;23
69;225;RETRASO;AEROLINEA Y NAS;40
70;229;RETRASO;AEROLINEA;25
71;230;RETRASO;NAS;22
72;234;RETRASO;NAS;27
73;238;RETRASO;NAS;71
