ID_VUELO;flightNum;departure;arrival;originiata;destiata;Matricula
0;2;25/10/2008;25/10/2008;LAX;JFK;N335AA
1;24;25/10/2008;25/10/2008;SFO;JFK;N352AA
2;181;25/10/2008;25/10/2008;JFK;LAX;N319AA
3;258;25/10/2008;25/10/2008;LAS;JFK;N5FSAA
4;358;25/10/2008;25/10/2008;ORD;LGA;N583AA
5;360;25/10/2008;25/10/2008;ORD;LGA;N473AA
6;412;25/10/2008;25/10/2008;STT;JFK;N5FHAA
7;592;25/10/2008;25/10/2008;MIA;LGA;N5EGAA
8;732;25/10/2008;25/10/2008;DFW;LGA;N219AA
9;736;25/10/2008;25/10/2008;DFW;LGA;N3DGAA
10;738;25/10/2008;25/10/2008;DFW;LGA;N477AA
11;742;25/10/2008;25/10/2008;DFW;LGA;N550AA
12;1086;25/10/2008;25/10/2008;DFW;PHL;N446AA
13;1104;25/10/2008;25/10/2008;STL;LGA;N584AA
14;1314;25/10/2008;25/10/2008;DFW;DCA;N504AA
15;1404;26/10/2008;26/10/2008;IAH;ORD;N4WWAA
16;1530;25/10/2008;25/10/2008;MIA;LGA;N5BTAA
17;2022;25/10/2008;25/10/2008;BNA;LGA;N586AA
18;2459;27/10/2008;27/10/2008;DFW;LAX;N5ERAA
19;1;25/10/2008;25/10/2008;JFK;LAX;N329AA
20;1;26/10/2008;26/10/2008;JFK;LAX;N320AA
21;1;27/10/2008;27/10/2008;JFK;LAX;N321AA
22;2;26/10/2008;26/10/2008;LAX;JFK;N328AA
23;2;27/10/2008;27/10/2008;LAX;JFK;N320AA
24;3;25/10/2008;25/10/2008;JFK;LAX;N332AA
25;3;26/10/2008;26/10/2008;JFK;LAX;N329AA
26;3;27/10/2008;27/10/2008;JFK;LAX;N328AA
27;5;25/10/2008;25/10/2008;DFW;HNL;N374AA
28;5;26/10/2008;26/10/2008;DFW;HNL;N381AA
29;5;27/10/2008;27/10/2008;DFW;HNL;N362AA
30;6;25/10/2008;26/10/2008;OGG;DFW;N353AA
31;6;26/10/2008;27/10/2008;OGG;DFW;N360AA
32;6;27/10/2008;28/10/2008;OGG;DFW;N383AA
33;7;25/10/2008;25/10/2008;DFW;OGG;N353AA
34;7;26/10/2008;26/10/2008;DFW;OGG;N360AA
35;7;27/10/2008;27/10/2008;DFW;OGG;N383AA
36;8;25/10/2008;26/10/2008;HNL;DFW;N360AA
37;8;26/10/2008;27/10/2008;HNL;DFW;N381AA
38;8;27/10/2008;28/10/2008;HNL;DFW;N342AA
39;10;25/10/2008;26/10/2008;LAX;JFK;N336AA
40;10;26/10/2008;27/10/2008;LAX;JFK;N322AA
41;10;27/10/2008;28/10/2008;LAX;JFK;N329AA
42;14;25/10/2008;26/10/2008;OGG;LAX;N391AA
43;14;26/10/2008;27/10/2008;OGG;LAX;N374AA
44;15;25/10/2008;25/10/2008;JFK;SFO;N320AA
45;15;26/10/2008;26/10/2008;JFK;SFO;N321AA
46;15;27/10/2008;27/10/2008;JFK;SFO;N332AA
47;16;25/10/2008;25/10/2008;SFO;JFK;N339AA
48;16;26/10/2008;26/10/2008;SFO;JFK;N336AA
49;16;27/10/2008;27/10/2008;SFO;JFK;N323AA
50;18;25/10/2008;26/10/2008;SFO;JFK;N322AA
51;18;26/10/2008;27/10/2008;SFO;JFK;N325AA
52;18;27/10/2008;28/10/2008;SFO;JFK;N339AA
53;19;26/10/2008;26/10/2008;JFK;LAX;N335AA
54;19;27/10/2008;27/10/2008;JFK;LAX;N338AA
55;20;25/10/2008;25/10/2008;SFO;JFK;N320AA
56;20;26/10/2008;26/10/2008;SFO;JFK;N321AA
57;20;27/10/2008;27/10/2008;SFO;JFK;N332AA
58;21;25/10/2008;25/10/2008;JFK;LAX;N327AA
59;21;26/10/2008;26/10/2008;JFK;LAX;N328AA
60;21;27/10/2008;27/10/2008;JFK;LAX;N320AA
61;22;26/10/2008;26/10/2008;LAX;JFK;N335AA
62;22;27/10/2008;27/10/2008;LAX;JFK;N338AA
63;24;26/10/2008;26/10/2008;SFO;JFK;N376AA
64;24;27/10/2008;27/10/2008;SFO;JFK;N371AA
65;25;25/10/2008;25/10/2008;BOS;LAX;N5CKAA
66;25;26/10/2008;26/10/2008;BOS;LAX;N5CNAA
67;25;27/10/2008;27/10/2008;BOS;LAX;N5EKAA
68;28;25/10/2008;25/10/2008;HNL;SFO;N5DFAA
69;28;26/10/2008;26/10/2008;HNL;SFO;N5FDAA
70;28;27/10/2008;27/10/2008;HNL;SFO;N5DJAA
71;30;25/10/2008;26/10/2008;LAX;JFK;N321AA
72;30;26/10/2008;27/10/2008;LAX;JFK;N328AA
73;30;27/10/2008;28/10/2008;LAX;JFK;N320AA
74;31;25/10/2008;25/10/2008;LAX;HNL;N5DFAA
75;31;26/10/2008;26/10/2008;LAX;HNL;N5FDAA
76;31;27/10/2008;27/10/2008;LAX;HNL;N5DJAA
77;32;25/10/2008;25/10/2008;LAX;JFK;N329AA
78;32;26/10/2008;26/10/2008;LAX;JFK;N323AA
79;32;27/10/2008;27/10/2008;LAX;JFK;N321AA
80;34;25/10/2008;25/10/2008;LAX;JFK;N319AA
81;34;26/10/2008;26/10/2008;LAX;JFK;N327AA
82;34;27/10/2008;27/10/2008;LAX;JFK;N319AA
83;39;25/10/2008;25/10/2008;SFO;HNL;N5ECAA
84;39;26/10/2008;26/10/2008;SFO;HNL;N5DFAA
85;39;27/10/2008;27/10/2008;SFO;HNL;N5FDAA
86;40;25/10/2008;25/10/2008;LAX;JFK;N325AA
87;40;26/10/2008;26/10/2008;LAX;JFK;N339AA
88;40;27/10/2008;27/10/2008;LAX;JFK;N335AA
89;47;25/10/2008;25/10/2008;ORD;DFW;N7AHAA
90;47;26/10/2008;26/10/2008;ORD;DFW;N7ARAA
91;47;27/10/2008;27/10/2008;ORD;DFW;N7ABAA
92;54;25/10/2008;25/10/2008;LAX;ORD;N375AA
93;59;25/10/2008;25/10/2008;JFK;SFO;N339AA
94;59;26/10/2008;26/10/2008;JFK;SFO;N336AA
95;59;27/10/2008;27/10/2008;JFK;SFO;N323AA
96;72;25/10/2008;26/10/2008;HNL;ORD;N382AA
97;73;25/10/2008;25/10/2008;ORD;HNL;N360AA
98;74;25/10/2008;26/10/2008;LAX;IAD;N3DAAA
99;74;26/10/2008;27/10/2008;LAX;IAD;N3DLAA
100;74;27/10/2008;28/10/2008;LAX;IAD;N3AKAA
101;75;25/10/2008;25/10/2008;IAD;LAX;N321AA
102;75;26/10/2008;26/10/2008;IAD;LAX;N319AA
103;75;27/10/2008;27/10/2008;IAD;LAX;N327AA
104;76;25/10/2008;25/10/2008;LAX;IAD;N321AA
105;76;26/10/2008;26/10/2008;LAX;IAD;N319AA
106;76;27/10/2008;27/10/2008;LAX;IAD;N327AA
107;85;25/10/2008;25/10/2008;JFK;SFO;N379AA
108;85;26/10/2008;26/10/2008;JFK;SFO;N380AA
109;85;27/10/2008;27/10/2008;JFK;SFO;N385AA
110;86;25/10/2008;25/10/2008;DFW;ORD;N7ALAA
111;86;26/10/2008;26/10/2008;DFW;ORD;N7ARAA
112;86;27/10/2008;27/10/2008;DFW;ORD;N7BTAA
113;102;25/10/2008;26/10/2008;HNL;DFW;N348AA
114;102;26/10/2008;27/10/2008;HNL;DFW;N342AA
115;102;27/10/2008;28/10/2008;HNL;DFW;N399AA
116;114;25/10/2008;25/10/2008;LAX;EWR;N5EVAA
117;114;26/10/2008;26/10/2008;LAX;EWR;N5EWAA
118;114;27/10/2008;27/10/2008;LAX;EWR;N5DFAA
119;117;25/10/2008;25/10/2008;JFK;LAX;N328AA
120;117;26/10/2008;26/10/2008;JFK;LAX;N324AA
121;117;27/10/2008;27/10/2008;JFK;LAX;N322AA
122;118;25/10/2008;25/10/2008;LAX;JFK;N322AA
123;118;26/10/2008;26/10/2008;LAX;JFK;N325AA
124;118;27/10/2008;27/10/2008;LAX;JFK;N339AA
125;119;25/10/2008;25/10/2008;EWR;LAX;N5EVAA
126;119;26/10/2008;26/10/2008;EWR;LAX;N5EWAA
127;119;27/10/2008;27/10/2008;EWR;LAX;N5DFAA
128;123;25/10/2008;25/10/2008;DFW;HNL;N382AA
129;123;26/10/2008;26/10/2008;DFW;HNL;N342AA
130;123;27/10/2008;27/10/2008;DFW;HNL;N342AA
131;127;25/10/2008;25/10/2008;JFK;SAN;N398AA
132;127;26/10/2008;26/10/2008;JFK;SAN;N356AA
133;127;27/10/2008;27/10/2008;JFK;SAN;N372AA
134;133;25/10/2008;25/10/2008;JFK;LAX;N336AA
135;133;26/10/2008;26/10/2008;JFK;LAX;N322AA
136;133;27/10/2008;27/10/2008;JFK;LAX;N329AA
137;144;25/10/2008;25/10/2008;LAX;IAD;N3DCAA
138;144;26/10/2008;26/10/2008;LAX;IAD;N3DHAA
139;144;27/10/2008;27/10/2008;LAX;IAD;N3BMAA
140;145;25/10/2008;25/10/2008;BOS;LAX;N354AA
141;145;26/10/2008;26/10/2008;BOS;LAX;N354AA
142;145;27/10/2008;27/10/2008;BOS;LAX;N377AA
143;149;25/10/2008;25/10/2008;IAD;LAX;N3CYAA
144;150;25/10/2008;26/10/2008;SFO;BOS;N5ELAA
145;150;26/10/2008;27/10/2008;SFO;BOS;N621AA
146;150;27/10/2008;28/10/2008;SFO;BOS;N5CSAA
147;154;25/10/2008;25/10/2008;ORD;BOS;N4YNAA
148;154;26/10/2008;26/10/2008;ORD;BOS;N592AA
149;154;27/10/2008;27/10/2008;ORD;BOS;N565AA
150;160;25/10/2008;25/10/2008;SAN;JFK;N384AA
151;160;26/10/2008;26/10/2008;SAN;JFK;N398AA
152;160;27/10/2008;27/10/2008;SAN;JFK;N356AA
153;162;25/10/2008;25/10/2008;HNL;LAX;N5ECAA
154;162;26/10/2008;26/10/2008;HNL;LAX;N5DFAA
155;162;27/10/2008;27/10/2008;HNL;LAX;N5FDAA
156;177;25/10/2008;25/10/2008;JFK;SFO;N322AA
157;177;26/10/2008;26/10/2008;JFK;SFO;N325AA
158;177;27/10/2008;27/10/2008;JFK;SFO;N339AA
159;178;25/10/2008;25/10/2008;SFO;JFK;N338AA
160;178;26/10/2008;26/10/2008;SFO;JFK;N332AA
161;178;27/10/2008;27/10/2008;SFO;JFK;N325AA
162;179;25/10/2008;25/10/2008;JFK;SFO;N338AA
163;179;26/10/2008;26/10/2008;JFK;SFO;N332AA
164;179;27/10/2008;27/10/2008;JFK;SFO;N325AA
165;180;25/10/2008;26/10/2008;LAX;JFK;N332AA
166;180;26/10/2008;27/10/2008;LAX;JFK;N329AA
167;180;27/10/2008;28/10/2008;LAX;JFK;N328AA
168;181;26/10/2008;26/10/2008;JFK;LAX;N327AA
169;181;27/10/2008;27/10/2008;JFK;LAX;N319AA
170;183;25/10/2008;25/10/2008;BOS;SFO;N5ESAA
171;183;26/10/2008;26/10/2008;BOS;SFO;N5FCAA
172;183;27/10/2008;27/10/2008;BOS;SFO;N628AA
173;185;25/10/2008;26/10/2008;JFK;LAX;N325AA
174;185;26/10/2008;27/10/2008;JFK;LAX;N339AA
175;185;27/10/2008;28/10/2008;JFK;LAX;N335AA
176;192;25/10/2008;26/10/2008;LAX;BOS;N5CJAA
177;192;26/10/2008;27/10/2008;LAX;BOS;N5CDAA
178;192;27/10/2008;28/10/2008;LAX;BOS;N5CAAA
179;194;25/10/2008;25/10/2008;SFO;BOS;N5CSAA
180;194;26/10/2008;26/10/2008;SFO;BOS;N637AA
181;194;27/10/2008;27/10/2008;SFO;BOS;N631AA
182;197;25/10/2008;25/10/2008;BOS;SFO;N639AA
183;197;26/10/2008;26/10/2008;BOS;SFO;N5EEAA
184;197;27/10/2008;27/10/2008;BOS;SFO;N5CSAA
185;201;25/10/2008;25/10/2008;JFK;LAX;N325AA
186;201;26/10/2008;26/10/2008;JFK;LAX;N339AA
187;201;27/10/2008;27/10/2008;JFK;LAX;N335AA
188;203;25/10/2008;25/10/2008;MIA;LAX;N5FAAA
189;203;26/10/2008;26/10/2008;MIA;LAX;N375AA
190;203;27/10/2008;27/10/2008;MIA;LAX;N5ECAA
191;209;25/10/2008;25/10/2008;DCA;ORD;N592AA
192;209;26/10/2008;26/10/2008;DCA;ORD;N4WVAA
193;209;27/10/2008;27/10/2008;DCA;ORD;N4WDAA
194;222;25/10/2008;25/10/2008;LAX;BOS;N354AA
195;222;26/10/2008;26/10/2008;LAX;BOS;N354AA
196;222;27/10/2008;27/10/2008;LAX;BOS;N377AA
197;223;25/10/2008;25/10/2008;BOS;LAX;N5DUAA
198;223;26/10/2008;26/10/2008;BOS;LAX;N5CGAA
199;223;27/10/2008;27/10/2008;BOS;LAX;N5EAAA
200;231;25/10/2008;25/10/2008;LAX;MIA;N5ERAA
201;231;26/10/2008;26/10/2008;LAX;MIA;N5EVAA
202;231;27/10/2008;27/10/2008;LAX;MIA;N5ESAA
203;244;25/10/2008;25/10/2008;LAX;MCO;N5EDAA
