ID_RETRASO;ID_VUELO;Causa;Tiempo
0;28;Carrier;20
1;45;Carrier;17
2;47;Carrier;12
3;66;Carrier;45
4;89;Carrier;15
5;93;Carrier;51
6;94;Carrier;8
7;95;Carrier;15
8;142;Carrier;12
9;149;Carrier;10
10;181;Carrier;10
11;183;Carrier;4
12;189;Carrier;147
13;203;Carrier;17
14;206;Carrier;38
15;209;Carrier;50
16;211;Carrier;25
17;216;Carrier;42
18;225;Carrier;29
19;229;Carrier;25
20;249;Carrier;31
21;257;Carrier;41
22;258;Carrier;77
23;280;Carrier;45
24;284;Carrier;90
25;292;Carrier;27
26;310;Carrier;16
27;321;Carrier;39
28;332;Carrier;74
29;344;Carrier;70
30;394;Carrier;19
31;411;Carrier;21
32;420;Carrier;18
33;428;Carrier;18
34;429;Carrier;37
35;436;Carrier;10
36;492;Carrier;20
37;554;Carrier;17
38;557;Carrier;94
39;559;Carrier;20
40;564;Carrier;34
41;567;Carrier;8
42;579;Carrier;61
43;581;Carrier;136
44;610;Carrier;52
45;622;Carrier;4
46;625;Carrier;40
47;626;Carrier;31
48;643;Carrier;78
49;660;Carrier;39
50;661;Carrier;12
51;670;Carrier;6
52;671;Carrier;37
53;672;Carrier;19
54;684;Carrier;6
55;688;Carrier;238
56;706;Carrier;39
57;707;Carrier;18
58;714;Carrier;25
59;718;Carrier;9
60;722;Carrier;31
61;727;Carrier;54
62;731;Carrier;17
63;732;Carrier;12
64;734;Carrier;12
65;735;Carrier;46
66;750;Carrier;11
67;765;Carrier;25
68;781;Carrier;20
69;782;Carrier;73
70;796;Carrier;8
71;815;Carrier;44
72;822;Carrier;8
73;838;Carrier;30
74;892;Carrier;57
75;894;Carrier;105
76;912;Carrier;25
77;922;Carrier;11
78;925;Carrier;8
79;927;Carrier;36
80;928;Carrier;9
81;942;Carrier;203
82;947;Carrier;44
83;955;Carrier;57
84;992;Carrier;8
85;998;Carrier;20
86;1003;Carrier;61
87;1024;Carrier;11
88;1034;Carrier;4
89;1035;Carrier;4
90;1050;Carrier;23
91;1051;Carrier;14
92;1062;Carrier;6
93;1076;Carrier;9
94;1101;Carrier;10
95;1102;Carrier;45
96;1112;Carrier;13
97;1119;Carrier;6
98;1123;Carrier;33
99;1140;Carrier;37
100;1154;Carrier;8
101;1202;Carrier;15
102;1207;Carrier;21
103;1224;Carrier;30
104;1239;Carrier;61
105;1260;Carrier;104
106;1280;Carrier;15
107;1283;Carrier;12
108;1309;Carrier;7
109;1327;Carrier;48
110;1338;Carrier;20
111;1344;Carrier;33
112;1345;Carrier;20
113;1358;Carrier;2
114;1383;Carrier;425
115;1404;Carrier;57
116;1410;Carrier;28
117;1415;Carrier;15
118;1424;Carrier;19
119;1441;Carrier;121
120;1461;Carrier;67
121;1480;Carrier;131
122;1484;Carrier;22
123;1485;Carrier;58
124;1518;Carrier;16
125;1519;Carrier;20
126;1526;Carrier;34
127;1541;Carrier;14
128;1542;Carrier;8
129;1556;Carrier;10
130;1570;Carrier;28
131;1584;Carrier;15
132;1585;Carrier;40
133;1590;Carrier;15
134;1591;Carrier;14
135;1599;Carrier;5
136;1613;Carrier;7
137;1615;Carrier;16
138;1616;Carrier;13
139;1625;Carrier;163
140;1641;Carrier;3
141;1649;Carrier;15
142;1653;Carrier;28
143;1658;Carrier;128
144;1664;Carrier;84
145;1666;Carrier;10
146;1689;Carrier;187
147;1691;Carrier;18
148;1692;Carrier;95
149;1699;Carrier;334
150;1713;Carrier;43
151;1718;Carrier;8
152;1725;Carrier;14
153;1730;Carrier;3
154;1733;Carrier;126
155;1747;Carrier;14
156;1754;Carrier;2
157;1774;Carrier;88
158;1796;Carrier;39
159;1798;Carrier;16
160;1817;Carrier;70
161;1819;Carrier;12
162;1829;Carrier;7
163;1853;Carrier;7
164;1854;Carrier;18
165;1857;Carrier;2
166;1858;Carrier;28
167;1880;Carrier;2
168;1904;Carrier;14
169;1910;Carrier;6
170;1913;Carrier;2
171;1938;Carrier;28
172;1945;Carrier;35
173;1964;Carrier;67
174;1971;Carrier;8
175;1981;Carrier;12
176;1986;Carrier;76
177;1989;Carrier;8
178;2040;Carrier;224
179;2057;Carrier;12
180;2067;Carrier;18
181;2073;Carrier;32
182;2075;Carrier;26
183;2076;Carrier;46
184;2108;Carrier;21
185;2110;Carrier;10
186;2111;Carrier;5
