EQUIPO_LOCAL,Equipo
At. Madrid,
Barcelona,F. C. Barcelona
Burgos,Burgos CF
Castellón,
Celta,
Granada,
Las Palmas,U. D. Las Palmas
Málaga (C.D.),
Sporting Gijón,
Ath. Bilbao,Athletic Club
Betis,Real Betis Balompié
Dptivo. Coruña,R. C. Deportivo de La Coruña
Espanyol,RCD Espanyol
Oviedo,Real Oviedo
Real Madrid,Real Madrid C. F.
Real Sociedad,Real Sociedad
Valencia,Valencia C. F.
Zaragoza,Real Zaragoza
Barakaldo,
Cádiz,Cádiz C. F.
Córdoba,Córdoba C. F.
Elche,Elche C. F.
Mallorca,R. C. D. Mallorca
Osasuna,C. A. Osasuna
Sant Andreu,UE Sant Andreu
Sevilla,Sevilla FC
Valencia B,
Valladolid,
Cult. Leonesa,
Gimn. Tarragon,
Hércules,Hércules C. F.
Logroñés,EDF Logroño
Murcia,Real Murcia C. F.
Pontevedra,
Rac. Santander,
Rayo Vallecano,
Sabadell,CE Sabadell FC
Tenerife,C. D. Tenerife
Linares,
Levante,Levante U. D.
Ourense,
Salamanca,
Alavés,Deportivo Alavés
Barcelona B,
Rec. Huelva,R. C. Recreativo de Huelva
Terrassa,Terrassa Olímpica 2010
Calvo Sotelo,CD Puertollano
Ensidesa,
Jaén,Real Jaén CF
Getafe,Getafe C. F.
Almería (A.D.),
Ferrol,Racing Club de Ferrol
Algeciras,Algeciras CF
Real Madrid B,Real Madrid Club de Fútbol Castilla
Palencia,
Ceuta,
At. Madrid B,
Cartagena F.C.,
Xerez,
Ath. Bilbao B,Bilbao Athletic
Lorca,
Albacete,Albacete Balompié
Sestao,
Zaragoza B,
Figueres,UE Figueres
Lleida,
Burgos (Real),
Alzira,
Éibar,S. D. Eibar
Mollerussa,
Palamós,Palamós CF
Avilés,
Orihuela,
Compostela,
Mérida,A. D. Mérida
Marbella,
Villarreal,
Badajoz,C. D. Badajoz
Lugo,C. D. Lugo
Leganés,CD Leganés
Toledo,
Extremadura,Extremadura UD
Almería,
Écija,
Numancia,CD Numancia
Mallorca B,
Málaga,Málaga C. F.
Univ.Las Palma,
Ejido,
Granada 74,
Málaga B,
Ponferradina,SD Ponferradina
Vecindario,
Sevilla B,
Alicante,
Huesca,SD Huesca
Girona,Girona FC
Real Unión,Real Unión Club
Villarreal B,
Cartagena,F. C. Cartagena
Alcorcón,AD Alcorcón
Alcoyano,
Guadalajara,CD Guadalajara
Mirandés,
Llagostera,
,
,CD Marino
,UP Langreo
,Caudal Deportivo
,RC Portuense
,UCAM Murcia Club de Fútbol
,RCD Carabanchel
,U. D. Logroñés
,CD Izarra
,Club de Fútbol Badalona
,Club Marino de Luanco
,Montilla CF
,Sporting de Gijón
,CE Europa
,CP Cacereño
,SD Tenisca
