ID_PARTIDO,EQUIPO_LOCAL,EQUIPO_VISITANTE,GOLES_LOCAL,GOLES_VISITANTE,MI_JORNADA
1,At. Madrid,Valencia,1,3,1
2,Barcelona,Dptivo. Coruña,3,1,1
3,Burgos,Real Sociedad,1,0,1
4,Castellón,Real Madrid,2,3,1
5,Celta,Espanyol,1,1,1
6,Granada,Zaragoza,0,0,1
7,Las Palmas,Oviedo,2,1,1
8,Málaga (C.D.),Ath. Bilbao,0,0,1
9,Sporting Gijón,Betis,1,0,1
10,Ath. Bilbao,Celta,1,1,2
11,Betis,Las Palmas,0,2,2
12,Dptivo. Coruña,Granada,0,0,2
13,Espanyol,Castellón,1,0,2
14,Oviedo,At. Madrid,0,2,2
15,Real Madrid,Sporting Gijón,1,0,2
16,Real Sociedad,Málaga (C.D.),1,1,2
17,Valencia,Barcelona,0,1,2
18,Zaragoza,Burgos,2,0,2
19,At. Madrid,Betis,2,1,3
20,Barcelona,Oviedo,3,1,3
21,Burgos,Málaga (C.D.),2,2,3
22,Castellón,Ath. Bilbao,1,4,3
23,Celta,Real Sociedad,0,1,3
24,Granada,Valencia,1,1,3
25,Las Palmas,Real Madrid,1,1,3
26,Sporting Gijón,Espanyol,0,0,3
27,Zaragoza,Dptivo. Coruña,5,0,3
28,Ath. Bilbao,Sporting Gijón,2,0,4
29,Betis,Barcelona,0,2,4
30,Dptivo. Coruña,Burgos,2,1,4
31,Espanyol,Las Palmas,4,0,4
32,Málaga (C.D.),Celta,1,0,4
33,Oviedo,Granada,3,0,4
34,Real Madrid,At. Madrid,0,1,4
35,Real Sociedad,Castellón,0,0,4
36,Valencia,Zaragoza,0,0,4
37,At. Madrid,Espanyol,0,0,5
38,Barcelona,Real Madrid,1,0,5
39,Burgos,Celta,0,0,5
40,Castellón,Málaga (C.D.),1,0,5
41,Dptivo. Coruña,Valencia,1,1,5
42,Granada,Betis,0,0,5
43,Las Palmas,Ath. Bilbao,1,0,5
44,Sporting Gijón,Real Sociedad,3,0,5
45,Zaragoza,Oviedo,3,0,5
46,Ath. Bilbao,At. Madrid,1,0,6
47,Betis,Zaragoza,1,1,6
48,Celta,Castellón,2,0,6
49,Espanyol,Barcelona,1,1,6
50,Málaga (C.D.),Sporting Gijón,1,0,6
51,Oviedo,Dptivo. Coruña,0,0,6
52,Real Madrid,Granada,2,1,6
53,Real Sociedad,Las Palmas,1,0,6
54,Valencia,Burgos,3,0,6
55,At. Madrid,Real Sociedad,2,1,7
56,Barcelona,Ath. Bilbao,1,0,7
57,Burgos,Castellón,2,1,7
58,Dptivo. Coruña,Betis,2,0,7
59,Granada,Espanyol,2,2,7
60,Las Palmas,Málaga (C.D.),1,3,7
61,Sporting Gijón,Celta,3,1,7
62,Valencia,Oviedo,2,2,7
63,Zaragoza,Real Madrid,0,0,7
64,Ath. Bilbao,Granada,0,1,8
65,Betis,Valencia,0,0,8
66,Castellón,Sporting Gijón,1,0,8
67,Celta,Las Palmas,3,1,8
68,Espanyol,Zaragoza,3,1,8
69,Málaga (C.D.),At. Madrid,0,1,8
70,Oviedo,Burgos,1,0,8
71,Real Madrid,Dptivo. Coruña,0,0,8
72,Real Sociedad,Barcelona,2,0,8
73,At. Madrid,Celta,5,1,9
74,Barcelona,Málaga (C.D.),0,0,9
75,Burgos,Sporting Gijón,2,1,9
76,Dptivo. Coruña,Espanyol,0,0,9
77,Granada,Real Sociedad,2,0,9
78,Las Palmas,Castellón,0,1,9
79,Oviedo,Betis,0,0,9
80,Valencia,Real Madrid,0,1,9
81,Zaragoza,Ath. Bilbao,3,2,9
82,Ath. Bilbao,Dptivo. Coruña,3,0,10
83,Betis,Burgos,5,1,10
84,Castellón,At. Madrid,1,1,10
85,Celta,Barcelona,0,0,10
86,Espanyol,Valencia,3,0,10
87,Málaga (C.D.),Granada,3,0,10
88,Real Madrid,Oviedo,3,0,10
89,Real Sociedad,Zaragoza,3,0,10
90,Sporting Gijón,Las Palmas,2,2,10
91,At. Madrid,Sporting Gijón,0,1,11
92,Barcelona,Castellón,3,1,11
93,Betis,Real Madrid,2,1,11
94,Burgos,Las Palmas,3,3,11
95,Dptivo. Coruña,Real Sociedad,1,2,11
96,Granada,Celta,1,0,11
