idCapitulo;season_nr;episode_nr;title;idSerie
1;;;Stress de primavera;3
2;1;1;El grito del sur. Casas Viejas;106
3;5;12;(#5.12);212
4;2;4;Buscando un Valium desesperadamente;212
5;2;8;Buscarse la vida;212
6;1;4;Bésame, Alicia;212
7;6;2;Cara de ángel;212
8;1;3;Caído del cielo;212
9;5;9;Cita a ciegas;212
10;2;2;Comunicando;212
11;5;8;Confidencias;212
12;5;2;Cosa Nostra;212
13;4;13;Deseo, pasión y paciencia;212
14;5;5;El fin del milenio;212
15;2;6;El guateque;212
16;2;7;El secreto del éxito;212
17;4;11;Ellos y ella;212
18;3;1;Elígeme;212
19;1;8;Enamorados;212
20;4;4;Esta niña es mía;212
21;1;9;Esta tía es una hermana;212
22;4;12;Esto es la guerra;212
23;5;1;Gimnasia y amnesia;212
24;1;13;La quimera del oro;212
25;5;4;La tentación vive abajo;212
26;2;11;La visita;212
27;4;6;Lecciones íntimas;212
28;4;5;Los amigos de los niños;212
29;4;3;Madam Alicia;212
30;6;1;Malas influencias;212
31;1;11;Mamá sale todas las noches;212
32;3;3;Mamá, papá... y la novia de papá;212
33;2;5;Margarita se llama mi amor;212
34;1;5;No me maltrates;212
35;1;7;Nímeros rojos;212
36;5;6;Padre no hay más que muchos;212
37;1;2;Papeles;212
38;5;7;Pequeño tirano;212
39;1;6;Petri woman;212
40;2;9;Predicando en el desierto;212
41;1;1;Revista de tropa;212
42;1;10;Seis en un sofá;212
43;3;4;Semana de pasión;212
44;5;10;Ser padres;212
45;1;12;Temor y temblor;212
46;5;13;Terapia de contacto;212
47;2;10;Una chica natural;212
48;5;3;Valiente San Valentín;212
49;1;2;El senyor Josep enganya a la dona i la dona del senyor Josep falta a lhome;241
50;1;4;Santiago Rusiñol: la vida;241
51;;;Adolphe et les menteuses;304
52;;;Martingale;304
53;;;Rendez-vous à Lisbonne;304
54;;;Retour;304
55;2;9;Instant Replay;336
56;2;16;Venus Flytrap;336
57;1;13;Párpados;367
58;1;10;Un instante en tu piel;367
59;;;(1986-02-10);390
60;4;1;Shanghai Lilly;642
61;2;3;La zapatera prodigiosa;683
62;;;Damunt lherba;698
63;;;Tots els que cauen;715
64;;;Albert i Francina;726
65;;;El Cafè de la Marina;726
66;;;La nau;726
67;;;La roda de la fortuna;726
68;;;Mnemos;752
69;;;Ball robat;992
70;;;El Tartuf;992
71;;;El verí del teatre;992
72;;;Homes i no;992
73;;;La llotja;992
74;;;Molt soroll per no res;992
75;;;Revolta de bruixes;992
76;;;Salomé;992
77;;;Sílvia Ocampo;992
78;1;1;En el barrio sobra siensia y lo que farta se inventa;1055
79;1;1;(#1.1);1087
80;1;10;(#1.10);1087
81;1;2;(#1.2);1087
82;1;3;(#1.3);1087
83;1;4;(#1.4);1087
84;1;6;(#1.6);1087
85;1;8;(#1.8);1087
86;1;9;(#1.9);1087
87;2;16;(#2.16);1087
88;2;22;(#2.22);1087
89;2;4;(#2.4);1087
90;2;5;(#2.5);1087
91;;;(1997-06-12);1087
92;;;(1997-06-19);1087
93;;;(1997-09-25);1087
94;;;(1997-10-02);1087
95;;;(1997-10-23);1087
96;;;(1997-11-13);1087
97;;;(1997-11-20);1087
98;;;(1997-11-27);1087
99;;;(1997-12-11);1087
100;;;(1997-12-25);1087
101;;;A toda pastilla;1087
102;;;Acusado;1087
103;2;8;Al pan, pan;1087
104;;;Borriquito como tú;1087
105;2;13;Bésame mucho;1087
106;2;1;Castillos en el aire;1087
107;2;2;Cincuenta tacos;1087
108;;;Con nueve basta;1087
109;2;20;Cosas de críos;1087
110;2;23;Cría cuervos;1087
111;2;14;Dime que me quieres;1087
112;3;1;El hombre del traje gris;1087
113;;;El niño del Pellizquito;1087
114;2;12;El que se fue a Sevilla;1087
115;;;Expediente F;1087
116;2;11;Fuimos novios;1087
117;1;5;Haciendo trampas;1087
118;3;6;Hogar, dulce hogar;1087
119;3;4;La abuela cumple 80 años;1087
120;;;La guerra del taxi;1087
121;2;10;La sombra de una duda;1087
122;2;6;La vida sigue igual;1087
123;;;La última carrera;1087
124;2;9;Las chicas son guerreras;1087
125;2;17;Llamando a las puertas del cielo;1087
126;2;19;Los niños no vienen de París;1087
127;2;3;Madre no hay más que dos;1087
128;3;3;Pareja de ases;1087
129;2;7;Rebelde con causa;1087
130;3;2;Regalo de pedida;1087
131;2;21;Sin perdón;1087
132;;;Sucedió una noche;1087
133;1;7;Tres meses y un día;1087
134;1;11;Tres no son multitud;1087
135;2;18;Un tranvía llamado deseo;1087
136;2;15;Y se armó el Belén;1087
137;;;Ya está aquí, ya llegó;1087
138;3;5;¡Fuego!;1087
139;;;¡Qué noche la de aquel fin de año!;1087
140;1;7;Més fort que la vida mateixa;1183
141;;;Elisabeth i Maria;1184
142;;;Alla ricerca di Sheherazade;1248
143;;;El hermano pequeño;1248
144;;;Il centravanti è stato assassinato verso sera;1248
145;;;La solitude du manager;1248
146;;;Padre, patrón;1248
147;;;Tal como éramos;1248
148;1;3;La sombra del delator;1406
149;1;1;Sonata de primavera;1432
150;1;6;Das Automobil;1501
151;1;5;Der Salonlöwe;1501
152;1;3;Die Braut;1501
153;1;1;Die Geburt;1501
154;1;7;Die Hochzeit;1501
155;1;2;Die Renovierung;1501
156;1;4;Die Wiege;1501
157;;;La opinión de Amy;1684
