ID;title;production_year
1;003 y medio;1979
2;10 + 2;1994
3;13 x 13;1987
4;;
5;135 escons;1986
6;24 imágenes por segundo;1977
7;3, 2, 1... contacto;1982
8;30 minutos;1991
9;30 minuts;1984
10;300 millones;1977
11;35 millones de españoles;1975
12;3res 14torze 16tze;1989
13;3x4;1986
14;48 horas;1987
15;625 líneas;1976
16;7 vidas;1999
17;A cara descuberta;1995
18;A cociñar con Paco Feixó;1994
19;A conta atrás;1992
20;A contrafío;1987
21;A debat;1989
22;A debate;1990
23;A dos de cinc, te o cafè?;1988
24;A dúas bandas;1986
25;A Electra le sienta bien el luto;1986
26;A familia mudanza;1993
27;A familia Pita;1996
28;A fondo;1976
29;A lest del Besòs;1988
30;A la calle;1990
31;A la caza del tesoro;1984
32;A las diez en casa;1995
33;A las ocho con Raffaella;1993
34;A las once en casa;1998
35;A media tarde;1985
36;A media voz;1987
37;A mediodía, alegría;1992
38;A mellor tv do mundo;1987
39;A mi manera;1989
40;A noite das badaladas;1988
41;A noite en blanco;1998
42;A otra cosa;1993
43;A pie de página;1991
44;A pie, en bici o en moto;1982
45;A por todas;1990
46;A quién se le ocurre;1995
47;A Reoca;1990
48;A repanocha;1996
49;A revista;1990
50;A saúde;1993
51;A simple vista;1975
52;A su salud;1997
53;A su servicio;1994
54;A terra;1986
55;A toda página;1994
56;A toda risa;1999
57;A tope;1987
58;A trabe de ouro;1986
59;A través del espejo;1988
60;A tres bandes;1988
61;A tumba aberta;1988
62;A vista de pájaro;1986
63;A ze parea;1994
64;Abierto por vacaciones;1993
65;Acción D.F.;1998
66;Acompáñame;1992
67;Actors en primer pla;1983
68;Ada Madrina;1999
69;Adivina quien viene esta noche;1989
70;Adivina quién miente esta noche;1994
71;Adiviña quen vén esta noite;1990
72;Agenda informativa;1986
73;Agrosfera;1995
74;Agència de viatges;1993
75;Ahora o nunca;1992
76;Ahí te quiero ver;1984
77;Això no és tot!;1996
78;Això és massa!;1991
79;Al ataque;1992
80;Al compás de la copla;1996
81;Al filo de la ley;1993
82;Al galope;1984
83;Al grano;1994
84;Al habla;1998
85;Al mil por mil;1983
86;Al salir de clase;1997
87;Alcores;1981
88;Aleph, lectures contades;1999
89;Alerta 112;1998
90;Alex y Alexis;1998
91;Algo más que flamenco;1998
92;All in the Game;1993
93;Alquibla;1988
94;Alta tensión;1998
95;Amb el cor a la mà;1995
96;Amb laigua al coll;1990
97;Ambiciones;1998
98;Amor a primera vista;1991
99;Amor a primera vista;1992
100;Amor a primera vista;1997
101;Amor a primera vista;1998
102;Amor meu;1981
103;Amor, salut i feina;1987
104;América total;1996
105;Ana;1996
106;Andalucía Directo;1998
107;Andalucía, un siglo de fascinación;1996
108;Andante;1977
109;Anillos de oro;1983
110;Antena 3 directo;1997
111;Antena 3 noticias;1990
112;Antología de la zarzuela;1979
113;Antonio Machado, a lomos de una quimera;1998
114;Apaga a luz;1999
115;Apaga y vámonos;1995
116;Aperitiu amb...;1983
117;Aplauso;1978
118;Aquest any, cent!;1998
119;Aquí hay negocio;1995
120;Aquí hemos venido a lo que hemos venido;1995
121;Aquí jugamos todos;1995
122;Aquí no hay quien duerma;1995
123;Aquí y ahora;1975
124;Arco de triunfo;1991
125;Arestora;1988
126;Arnau;1994
127;Arroz con chícharos;1990
128;Arsenal Atlas;1987
129;Arsenal;1985
130;Art Attack;1999
131;Art Flash;1981
132;Arévalo y cia;1994
133;As de ouros;1989
134;Así como suena;1982
135;Así es la vida;1993
136;Así es la vida;1999
137;Así fue, así lo cuentan;1987
138;Así son las cosas;1997
139;Atac i gol;1991
140;Atrévete a soñar;1998
141;Auambabuluba balambambú;1985
142;Auga de verán;1989
143;Aula 2001;1986
144;Autor por autor;1997
145;Autorretrato;1984
146;Autors catalans davui;1983
147;Autògrafs;1996
148;Aventura 92;1989
149;Avisans quan arribi el 2000;1997
150;Avui per demà;1991
151;Axut;1998
152;Ay Lola, Lolita, Lola;1995
153;Ay, vida mía;1992
154;Bajo cero;1998
155;Bambán Club;1991
156;Barcelona 1992: Games of the XXV Olympiad;1992
157;Barcelona: Juegos de sociedad;1992
158;Barney;1988
159;Barrio Sésamo;1979
160;Bellezas al agua;1990
161;Bellezas en la nieve;1991
162;Benvinguts;1984
163;Berenar a Sant Cugat;1984
164;Bertan Zoro;1991
165;Betes i films;1990
166;Bi eta bat;1991
167;Biblioteca Nacional;1982
168;Bis a vis;1998
169;Bit a bit;1995
170;Bit-TVE;1992
171;Bla, bla, bla;1981
172;Blanc o negre;1987
173;Blanco y negro;1981
174;Blasco Ibáñez;1997
175;Boa noite;1985
176;Bobobobs;1988
177;Bojos pel ball;1997
178;Bon dia, Catalunya;1992
179;Bonic vespre;1996
180;Botó fluix;1986
181;Bravo, bravísimo;1995
182;Bricomanía;1994
183;Brigada central 2: La guerra blanca;1992
184;Brigada central;1989
185;Buenas noches;1982
186;Buenos días;1986
187;Buenos días, Madrid;1993
188;Buscamos unha estrela;1994
189;Butaca de patio;1989
190;Búscate la vida;1986
191;Cada día;1998
192;Cada mañana;1991
193;Café con leche;1998
194;Café, café;1993
195;Caiga quien caiga;1996
196;Caja de ritmos;1983
197;Cajón desastre;1988
198;Cala mar;1999
199;Caliente;1991
200;Calle nueva;1997
201;Camino de Santiago;1999
202;Campanadas de Fin de Año;1990
203;Campanadas del año;1990
204;Campeones de la playa;1994
205;Canal 24 horas;1997
206;Canarias Noticias;1990
207;Canciones de nuestra vida;1997
208;Canciones de una vida;1979
209;Canciones de verano;1995
210;Canciones del desván;1975
211;Candel;1987
212;Candilejas;1985
213;Canguros;1994
214;Cantando se hace camino;1977
215;Cantantes y sonantes;1985
216;Cantares;1978
217;Cap problema;1996
218;Capelito;1999
219;Captain James Cook;1987
220;Captain Star;1997
221;Cara a cara;1999
222;Carandelario;1990
223;Carme i David, cuina, menjador i llit;1984
224;Carmen y familia;1996
225;Cartafol;1989
226;Cartelera;1994
227;Casa para dos;1995
228;Castillos en el aire;1999
229;Catalunya avui;1999
230;Català amb nosaltres;1978
231;Cañas y barro;1978
232;Celia;1993
233;Cent anys de cançons;1999
234;Centro médico;1997
235;Centros de poder;1994
236;Cerca de las estrellas;1989
237;Cerca de tí;1993
238;Cervantes;1980
239;Chambo;1999
240;Chantatachan;1992
241;Cicle Ibsen;1984
242;Cicle Santiago Rusiñol;1981
243;Cifras y letras junior;1993
244;Cifras y letras;1991
245;Cine de barrio;1995
246;Cinema 100;1995
247;Cinema 3;1984
248;Cinéma;1988
249;Circo pop;1988
250;Cita amb...;1982
251;Cita con Apeles;1997
252;Cita con la vida;1993
253;Ciudad abierta;1994
254;Ciudades perdidas;1988
255;Ciutadans;1994
256;Clan Clip;1989
257;Clar i català;1981
258;Clase media;1987
259;Clip, clap, video;1991
260;Clip-Club;1986
261;Clipmanía;1992
262;Club Disney;1989
263;Club Megatrix;1995
264;Club Super 3;1991
265;Coa miña xente;1992
266;Cocina con fundamento;1998
267;Colegio mayor;1994
268;Com a casa;1989
269;Comer es un placer;1994
270;Como la vida misma;1992
271;Como la vida;1999
272;Como Pedro por su casa;1985
