;name;gender
1;Bonnet, Marta;f
2;Pagés, Paloma;f
3;Pastor, Juan;m
4;Summers, Guillermo;m
5;Torrebruno;m
6;Berenguer, Mireia;
7;Bolaños, Mónica;
8;Cabrera, Javier;m
9;Castelltort, Jordi;
10;Cernat, Aida;
11;Chételat, Bernard;
12;Cuchillo, Lluïsa;
13;Fortuny, Marina P.;
14;Gnutti, Rudy;
15;Gramling, Catherine;
16;Inglada, Manel Gil;m
17;Kowalzik, Marvin;
18;Lancha, Olga;
19;Landerer, Franz;
20;Pujol, Hilari;
21;Pujol, Miquel;m
22;Pujol, Montserrat;
23;Pérez de Olaguer-Córdoba, Ignacio;
24;Rodríguez, Magda;m
25;Wegener, Thorsten;
26;;
27;Caminals, Pere;m
28;Conesa, Carmen;f
29;Gallardo, Mauricio;m
30;Gomà, Enric;m
31;Gonyalons, Àngels;f
32;Mora, Víctor;m
33;Orella, Francesc;m
34;Pavlovsky, Ángel;m
35;Peracaula, Jaume;m
36;Quer, Emma;f
37;Ribas, Antoni;m
38;Tramvia, Oriol;m
39;Alegre, Lluís;m
40;Bassols, Agustí;m
41;Camp, Ramón;m
42;Guitart, Xavier;m
43;Marimon, Francesc Xavier;m
44;Rovira, Conrad;m
45;Saura, Joan;m
46;Sesmilo, Daménec;m
47;Plaza, José Antonio;m
48;Tenaille, Isabel;f
49;Bollain, Luis;m
50;Martínez, Sonia;f
51;Rodríguez, Mari Fé;f
52;Rueda, Fernando;m
53;Pino, Hilario;m
54;Martí Maqueda, Enrique;m
55;Pérez Puig, Gustavo;m
56;Amestoy, Alfredo;m
57;Ferrer, Cristina;f
58;Aberasturi, Andrés;m
59;Erquicia, Pedro;m
60;Magro, Baltasar;m
61;San José, Antonio;m
62;Sanjuan, María;f
63;Flores, Alicia;
64;Redondo, Rocío;f
65;Novo, Nancho;m
66;Rodríguez Sieiro, Josemi;m
67;Rodríguez, Victoria;f
68;Santiso, Mon;m
69;Feixó, Paco;m
70;Garcia-Loureda, Ruben;
71;Iturregui, Nacho;
72;Rodríguez, Fernando Carlos;m
73;Veiga, Eva;f
74;Vázquez, Xesús García;m
75;Carballo, Carmen Pérez;
76;García, Amelia;f
77;Palmeiro, José María;m
78;Balcells, Josep Maria;m
79;Areal, Manuel Fernández;m
80;Pajares, Carlos;m
81;Vázquez Portomeñe, Víctor Manuel;m
82;Blanco, Carlos;m
83;Bouzas, María;f
84;Durán Morris, Antonio;m
85;Zahera, Luis;m
86;Aguiar, Miguel;
87;Ares, Carlos;m
88;Botana, Manuel;m
89;Casal, Pancho;m
90;Castiñeiras, Monti;m
91;Castro, Xosé;m
92;Durán, Óscar;m
93;Gabriel, Abelardo;m
94;Gagino, Chema;m
95;García, Nani;
96;Goitia, Alberto;
97;González, Ana;m
98;Leal, Roberto;m
99;Luaces, Elina;f
100;Mahía, Andrés;m
101;Manquiña, Manuel;m
102;Mato, Amalia;
103;Meléndrez, Mateo;
104;Millán, Manuel;m
105;Monteagudo, Ana;f
106;Morgade, Juan;
107;Mosqueira, Víctor;m
108;Murado, Miguel Anxo;m
109;Pascual, Cristina;f
110;Prego, Santi;m
111;Alonso, Ángel;m
112;Nieto, Miguel Ángel;m
113;Torre, Rosana;f
114;Quadra Salcedo, Miguel de la;m
115;Urzáiz, León;
116;León, Loles;f
117;Alexander, Carla;
118;Alexander, Juan;
119;Fernández de Córdoba Moncada, Santiago;
120;García, Lisardo;
121;Pérez Muñoz, José Miguel;
122;Mazagatos, Sofía;f
123;Sabater, Leticia;f
124;Abad, Manuel;m
125;Cermeño, Ana;f
126;Rábade, Carmen;m
127;Suárez, Mercedes;m
128;Campos, María Teresa;f
129;Campos, Terelu;f
130;Galán, Concha;m
131;González, Goyo;m
132;Herrero, Nieves;f
133;Soriano, Irma;f
134;Corcón, J. Rivadulla;m
135;Perozo, José Antonio;m
136;Pintos, Gonzalo;
137;Acebal, Fernando;m
138;Blanco, Xosé Luís;m
139;Díaz Pardo, Isaac;m
140;Franco, Jesús;m
141;Gómez, Horacio;m
142;Izaguirre, Boris;m
143;Lorenzo, Francis;m
144;Pernas, Antonio;m
145;Ponte, Laura;f
146;Salgado, Míchel;m
147;Superstar, Silvia;f
148;Sánchez, Marta;f
149;Vázquez, Paula;f
150;Rodríguez, Manane;
151;Valdés, Salvador;m
152;Caparrós padre, Andrés;m
153;Acisclo, Javier;
154;Bouzas, Víctor;m
155;Delgado, Teté;f
156;Pombal, Manuel;m
157;Blanco, Isabel;f
158;Cruz, Toni;m
159;González, Tacho;m
160;López, Rosa;
161;Porto, Josito;m
162;Amado, Carlos;
163;Axeitos, Antón;m
164;Axeitos, Toño;
165;Balsa, Ángeles;
166;Baños, Belén;m
167;Besteiro, María;f
168;Cabezas, Mayte;f
169;Cacharro, Xan;m
170;Casares, Laura;f
171;Castro, Ana;m
172;Del Valle, Santiago;m
173;Espiño, David;m
174;Fernández, Leo;m
175;Fiúza, Luís;m
176;García, Mireia;f
177;García-Verdugo, Carlos;m
178;Gómez, Loli;f
179;Herrero, Eduardo;m
180;Hervella, Beatriz;f
181;Lemos, Moncho;m
182;Loira, Ánxela;f
183;López, Laura;m
184;Mancebo, Alberto;m
185;Manjón, Beatriz;f
186;Morales, Quique;m
187;Peleteiro, Xesús;m
188;Penabad, Eduardo;m
189;Peña, Laura;f
190;Prado, Carmen;
191;Pérez, Alfonso;m
192;Saavedra, Cristina;f
193;Soto, Helena;f
194;Vilar, Patricia;f
195;de Francisco, Andrea;m
196;de Urzaiz, Almudena Rodríguez;f
197;Maseda, Xosé Manuel;m
198;Anchóriz, Leo;m
199;Yagüe, Jesús;m
200;Mariscal, Claudio;m
201;Rosas, Olga;f
202;Bardem, Pilar;f
203;Briansó, Anna;f
204;García de Dueñas, Jesús;m
205;Marceli, Lola;f
206;Rojas, Rafael;m
207;Ungría, Alfonso;m
208;Pernas, Anxo Vázquez;m
209;Abradelo, María;f
210;Guerrero, Salvador;m
211;Kremel, Joaquín;m
212;Mourreau, Marlène;f
213;Pedraza, Eva;f
214;Santana, Eugenia;f
215;Summers, Tomás;
216;y Medio, Juan;m
217;Rapallo, Carlos;
