id_staff;id_persona;id_obra;role
1;4;1;writer
2;6;2;miscellaneous crew
3;7;2;editor
4;8;2;editor
5;9;2;producer
6;10;2;miscellaneous crew
7;11;2;editor
8;12;2;editor
9;13;2;miscellaneous crew
10;14;2;composer
11;15;2;miscellaneous crew
12;16;2;composer
13;17;2;producer
14;18;2;miscellaneous crew
15;19;2;producer
16;20;2;producer
17;21;2;writer
18;22;2;miscellaneous crew
19;23;2;editor
20;24;2;editor
21;25;2;producer
22;30;3;writer
23;32;3;writer
24;35;3;cinematographer
25;37;3;writer
26;63;16;miscellaneous crew
27;64;16;costume designer
28;69;18;producer
29;69;18;writer
30;70;19;producer
31;71;19;producer
32;75;20;producer
33;75;20;writer
34;82;26;writer
35;70;26;producer
36;86;27;writer
37;87;27;writer
38;89;27;producer
39;91;27;writer
40;95;27;composer
41;96;27;cinematographer
42;97;27;editor
43;100;27;writer
44;102;27;producer
45;105;27;producer
46;106;27;cinematographer
47;108;27;writer
48;111;29;writer
49;112;29;writer
50;117;34;writer
51;118;34;writer
52;119;34;miscellaneous crew
53;121;35;writer
54;134;40;producer
55;136;40;cinematographer
56;153;46;writer
57;160;48;producer
58;53;48;producer
59;165;49;editor
60;179;49;editor
61;190;49;editor
62;197;50;writer
63;53;50;producer
64;200;52;writer
65;208;54;producer
66;208;54;writer
67;217;57;producer
68;223;61;producer
69;224;61;writer
70;226;61;miscellaneous crew
71;227;61;producer
72;228;61;producer
73;70;61;editor
74;231;61;miscellaneous crew
75;234;61;producer
76;236;61;writer
77;237;62;producer
78;238;62;producer
79;240;62;writer
80;242;62;producer
81;243;62;producer
82;253;65;producer
83;254;65;writer
84;255;65;writer
85;258;68;miscellaneous crew
86;259;68;miscellaneous crew
87;260;68;producer
88;261;68;producer
89;262;68;miscellaneous crew
90;270;70;writer
91;70;71;producer
92;275;73;producer
93;278;76;writer
94;270;86;writer
95;310;86;miscellaneous crew
96;311;86;costume designer
97;312;86;writer
98;317;86;writer
99;319;86;costume designer
100;324;86;writer
101;325;88;miscellaneous crew
102;326;88;producer
103;327;88;producer
104;328;88;producer
105;335;90;producer
106;336;90;writer
107;337;90;composer
108;350;92;producer
109;353;92;producer
110;362;92;writer
111;363;92;writer
112;370;92;writer
113;379;92;cinematographer
114;380;92;producer
115;386;92;producer
116;391;92;editor
117;395;93;writer
118;397;93;editor
119;399;94;writer
120;400;94;writer
121;401;97;producer
122;158;98;producer
123;403;98;producer
124;158;100;producer
125;403;100;producer
126;158;101;producer
127;403;101;producer
128;407;103;writer
129;417;107;cinematographer
130;426;107;producer
131;427;107;writer
132;431;107;editor
133;441;110;producer
134;452;113;producer
135;453;113;writer
136;454;113;miscellaneous crew
137;455;113;miscellaneous crew
138;456;113;editor
139;457;113;cinematographer
140;458;113;miscellaneous crew
141;459;113;composer
142;461;114;writer
143;462;114;writer
144;107;114;writer
145;473;120;writer
146;474;120;writer
147;475;122;producer
148;168;125;writer
149;478;125;writer
150;70;125;producer
151;481;125;producer
152;500;128;writer
153;501;128;producer
154;502;128;composer
155;500;129;writer
156;503;129;writer
157;501;129;producer
158;504;133;producer
159;506;133;producer
160;517;138;producer
161;524;140;producer
162;531;142;producer
163;537;144;cinematographer
164;538;144;composer
165;539;144;composer
166;540;144;editor
167;541;144;composer
168;543;147;miscellaneous crew
169;158;154;producer
170;550;154;producer
171;403;154;producer
172;552;155;writer
173;559;155;writer
174;570;156;editor
175;581;156;producer
176;593;156;editor
177;607;156;editor
178;613;158;writer
179;615;158;producer
180;616;158;producer
181;618;158;composer
182;619;158;editor
183;620;158;producer
184;621;158;writer
185;622;158;writer
186;624;158;miscellaneous crew
187;625;158;editor
188;628;158;miscellaneous crew
189;635;159;composer
190;635;159;writer
191;638;159;writer
192;14;159;composer
193;16;159;composer
194;644;159;composer
195;661;162;writer
196;664;164;writer
197;666;164;cinematographer
198;677;168;writer
199;678;168;miscellaneous crew
200;679;168;writer
201;680;168;miscellaneous crew
202;275;168;miscellaneous crew
203;681;168;miscellaneous crew
204;682;168;miscellaneous crew
205;683;168;producer
206;684;168;miscellaneous crew
207;685;168;editor
208;686;168;writer
209;53;168;producer
210;687;168;miscellaneous crew
211;688;168;writer
212;689;168;writer
213;690;168;miscellaneous crew
214;691;168;editor
215;695;172;producer
216;696;172;writer
217;697;172;writer
218;712;174;composer
219;720;174;composer
220;744;176;producer
221;745;176;composer
222;746;176;composer
223;747;176;writer
224;748;176;writer
225;280;179;writer
226;752;180;writer
227;754;180;writer
228;756;180;writer
229;759;180;writer
230;761;180;writer
231;763;181;producer
232;765;182;producer
233;766;183;composer
234;769;183;miscellaneous crew
235;766;184;composer
236;770;184;writer
237;771;184;producer
238;771;184;writer
239;772;184;producer
240;773;184;miscellaneous crew
241;774;184;cinematographer
242;781;187;producer
243;787;190;writer
244;790;193;editor
245;792;193;producer
246;794;193;production designer
247;795;193;producer
248;797;193;composer
249;798;193;writer
250;803;193;cinematographer
251;806;195;editor
252;822;200;writer
253;823;201;miscellaneous crew
254;825;201;cinematographer
255;827;201;writer
256;831;201;miscellaneous crew
257;834;201;miscellaneous crew
258;838;201;editor
259;839;201;miscellaneous crew
260;840;201;miscellaneous crew
261;842;201;producer
262;843;201;miscellaneous crew
263;844;201;miscellaneous crew
264;849;201;composer
